ID;TOTAL_NF_ENTRADA;IDADE;SXE;SXA;FUZZYNUMBER;FUZZYLABEL
27abba42e6761217b54bbbc35cf12dd957dad3a77a06a4ce4bf9d20d57eb3577;411295,97;213,66;0,138;0,002;0,827777778;Muito Provável
49c9aa4ea3de4ed26ac4bcc70b3667802737b29d3f0a76045e945cb9b6df720a;25200;270,47;0,13;0,024;0,802137453;Provável
a88e7f0664fbc910998508fb4866b452062beb8cb679fb9321acd1a2c41a2256;3326,9;32,6;0,025;0,016;0,777718381;Muito Provável
5ce0300c09d150b1d9d72a1cd00a2030dff43136b1810ce73e864b3cf53ebd0e;1040;47,73;0,008;0,002;0,827777778;Muito Provável
9ccf8a805ec10a5ef9032b2178106b5cc150390284a8975536366a9031af0727;5960;37,98;0,049;0,006;0,795833333;Muito Provável
0eaf7450778979c70dbea3900f33d87871ad9f33329580b3def77627f6c36560;1055,6;15,15;0,007;0;0,833333333;Muito Provável
99645342c3fc9e5cb4e2d1d92bbbe917ae7c949c0b5195e99e59dd559e36a671;80460;146,31;0,419;0,011;0,760704875;Provável
bfba1139a6624970ffdf74dd4de6a1350a4ba5a9456d3ba6d7e7858ceed009dc;50150;194,82;0,105;0,039;0,814285714;Provável
cc0301cb966ff59018c3ecaed3e4a5cf047f1e9fc094f174b5184758a2e9e148;386,88;65,37;0,003;0,025;0,804882014;Muito Provável
81f120cb90a94aca42de5efa96822f236f22152ada3ed1a61df5fa2a50caa195;18486,98;68,24;0,223;0,029;0,814990942;Provável
4c18c893f08e9396eefbcde032b7e31f9eac021b49febc5162476031b4faa947;15950,7;10,31;0,069;0,004;0,814285714;Muito Provável
5f60c8a993f4f7d901f5a468d69b703c3f66ee341191434107b4eb4d39571697;79;260,6;0;0;0,833333333;Muito Provável
6aa61a4b42ae7f6d95e2591cd2f36386823b87e5a0ae3452d2657e045b4ae9c0;41569;18,15;0,507;0,003;0,821794872;Muito Provável
fc428bf93f5bcb49c8bbbe19b78a50f15616e990488f0fe84435f5768fd51213;1050;22,4;0,007;0,005;0,805555556;Muito Provável
32173e357b5125226b5e3f9dc4c1dc649baf0b0ca53142470050dbed9ae4ad7c;10991,6;11,82;0,014;0,018;0,784184885;Muito Provável
6ef3919c8d9f2b657af41fd33efcfb253567d165fd1f2c6d89547fb107eb90a0;15901;484,98;0,041;0,01;0,757174274;Provável
e1b60ad48bd980e28fb6460c3333fa0b5adc53b42b517eefedeb95f309098a44;658;39,4;0,003;0,003;0,821794872;Muito Provável
5d55ffc0e4dff3a24b5e1a4c9bf7bf0040c137719cb18638f03a5a876656d25f;8265;233,08;0,023;0,06;0,792087542;Provável
9b079e707439a91a33cce5db9be21c9e1d7091dac3081cfb5823af43c947de30;15860,28;43,57;0,01;0,015;0,774407823;Muito Provável
f2e3b378e39d768a88aae440ac6dc6147e6edb5630259208648c6b52f57f8c61;1747,96;68,15;0,005;0;0,833333333;Muito Provável
be2225cf77444884bea6585a363c6e6bda363c33715c95c4d00f779b27b14f37;55832,93;30,21;0,329;0;0,79299016;Muito Provável
181c488dda73384afed7cc13748083d61dc25c9b3ad68d549fad54828514ae23;5681,76;196,69;0,034;0;0,833333333;Muito Provável
05850cf8ae6eddf4906df6f62167c7c89f456fcb94c072376eeeb2157d394a2e;133,08;24,44;0,001;0,042;0,833298827;Muito Provável
ff6e71b128070a1bce66cb6fb69a546d64b33eaf22437a1386c837fec64b1cb8;30000;13,18;0,115;0,005;0,805555556;Muito Provável
d1ab8d0fe98ddbe7d47a14dfb7f0ba67d230515821a75f5b98e3893e1f9741cd;45798;161,76;0,123;0,005;0,805555556;Muito Provável
