ID;SITUACAO
83dcf7a50bdf554645f55112890c87a35c36cc346cac00097fb4e2975afc7d40;CA
ba72e4feca620f21b69d43c476199e7eb8936febb88965ffcc438ca5f04899e0;CA
a142dc5edb6982f11a8b69dc3a93b3dee92c8198036d89108641ceb08a43dee9;IP
8e4175cc9f096c45c3fb3f3a4543f872f6784092af8ede4c57cbcc77f1ab454c;CA
7b54ee095aa54fa47b2c2e14a83f04127ae0d00346b94a8e8cd6203b68f366ea;CA
849d276bed52c0760141934075f5821f6e661cb0bc18cf2e28212a8ace425768;IP
b9de4bf2dce229419fd96aa86a90fa911df23c9aef2b7c90e137759945f16a99;IP
08a62f2f06252c223f927639fa466b389111d58a6ab573fc09650a1736c98c8f;IP
26b75d097a73ad5f259b5ab854e2cd45802e4c212fe446a350d6191ac2245b72;CA
ec041f422a67c13cecef7204d522c05407df3b7904b50a741f16af1e2a9ae558;CA
d8e8d67430734adf42951b321e3528fb2a060891a96d995ceef7e899dcefbb1d;IP
4975168a01ba5797f3a8d7c61b2793fbc1bca071bcde549808c0f05faa0b9ca2;IP
f9bd5b2a5f2b9944efdc6c2f5261dd4040f01dfd0b3ceb3abb1d2e176ccb2880;IP
ed240f7682018dbd0009f8bcc57aec142d44f49a832b6e6e2afac47c9d803a00;IP
258e0ab7f027ce56105edb7113c454cfea150c9de399182ea5418622dab1993f;CA
e38239d41825078f36392ed699249fb0db443f034cdbae55a9d2723affe9f239;IP
6c8ed50c998946498799a9a2686e3b8f4c1cd437d993f32307c972ca493db28e;IP
4c542eeff90109578ca4705e99117bdb66f19b195c8cc0f636294bf2e8c43a33;CA
840c641a6b1dd818a8b91bf383a48fbdf047528441e6cc003ee85c6087f3fccb;IP
ff66b70e7fdb3d142b9c5ffa9eb97594291cf6756ffe58fd8267618a3b175d66;IP
4c1b6f124793f8ffa8e0074bc6c9eff1d4a42342beca9053d4f19ec58c358afa;IP
c52f997ded316fb40e3eee5402a41066f67dd184ff771cc5938f7cabeea9397e;IP
9bae8b0e988069c08ce602293770aba1b16822ddbfd9c80f2b54931155b2df31;CA
0b93c597ecbceb28229da8894102260f816f5317a9858532d7bb481457f094d3;IP
b376915404652beedd4fe02f4dbf6dbe33c1056c2b3937637f278b7738669a43;IP
153d79b4c55811faee227718af60fb4c081a2c991045d98c011875846ee266cd;IP
f3e56d1aff54d5f4350126368815c7b735ba33c02941bd32fcf1a99677a0d612;CA
e8adf900fbb332b63752a984ac470dad6f7b67f69e02b932b606dfe22e7f2947;IP
0fc25861acc8b214b41c35032684532cf633bfab873dfdb25e948b5749db135a;IP
e5ebbedacb43c8f62c9f276365450fc1a9621032fdda2c86b1ed3b89f4f950c2;IP
c05289d373cfd42c7ac57cd682d64732c244008dbc0d8e568c8fe70a462964bc;CA
e3e5831d648c73f2889ea188035ce77ead9bee702d22cb6fb5b17edfb292aaad;IP
061d8c42293bd991c5fb130470a17cdf896453a2f25c6f2e4e5d94be20fc9e0c;CA
50a58dc89b0fa3eb6357b88d040f54182bc6482834acb1b11f8342bdb1dfb923;IP
1ff050baa1a2bb81aebb464c7f9f001ae9543aae83b06f02bd109941e3a9d730;IP
105617cb89f77af0762ec18f1d658bc405b15ea4060136e293a02616baecbc4e;CA
516cd3a661e2926a88b6fdb27637a4b56d05487c12c1ab651a8de324c49e1727;IP
0f65449e8e952c0ad9db86b1f21347cd6a08fa57011457b90f09246b9f2b8d9d;IP
227fd01059dc6d538298f59c70aa5ae385e1114657004fa455a7bd159bd588a4;IP
725b2e1031d57a5eb49b5f201c11699457a5a3b7155caea83e3c1893d2a3cecf;CA
fd4a7e4ae3b4f8aeacbe58ef01ca921304ce6fe8b0ff74061bc404126141d951;IP
f26325673b1628a24bdbda9567ecbc46e0543e021580af68f12cdda5f9d309fa;IP
e5f0ec37aa29d6dbd3de64ecdf53ee3152882d5181c0a9288bd9233042531ed1;IP
a5178630c5e627fdc0bffcd28f279f5161d27b942e9ddc531200a6d1a272877d;IP
87476c2231f992cf97bbce0a817be23feb782884eee221b267e350cba2a5bf6d;IP
ebc826811ec5d85a89c1f055525cf902a397760594a74219c2edf13c1cc31b98;CA
3371f899bc34c810336b5888d3d2ab384b13768dc8ce850656c021b63405e036;IP
c0933712c41768bdebb8832e70224cf0550aa368a32e6ef544943e83ef3b8176;CA
b003248497426c403f35d48a4d389e44130c2ef31f312abd428e6e603f55baa5;CA
e13c68653d7360815f8535c92684f7b6535189c75db7430e641ed4afaf1a5404;IP
492e77cf4490bbe1113f1139143c14705e47065c004d9413cb6446ad7839abbd;CA
63ac8782694ceb86367c88961b0e75f9f85630806c2dba4dc2b59f68a2c6d7c8;CA
e243c6421533d37ba816d3afe9c60ffddf12c9e5bf7c1a911a0f0a789b8d8458;IP
01c4fbdfb648170cf28c374f22af82e3b4cd43186a909e79a2840ef45ba4991a;IP
